,,,,,,
Lederrückenberg,986,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Lemberg [Winklmoos],1490,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Lembergscheid,1597,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Litzlbachhörndl,1330,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Lochköpfl,1300,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Lochner Horn,1448,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Luchsfallwand,1324,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Luchsfallwandl,1263,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Madonna,1180,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Maierknogl,1303,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Maiswand,1114,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Mansurfahrn,1502,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Markkogel,1599,"Berg, Gipfel",Österreich Deutschland,Tirol Bayern,Chiemgauer Alpen,Latschengupf auf der Grenze
Mehrentaler Wand,1309,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,zwischen Vorderalm und Baireralm. Führt ein in den Äpps eingezeichneter Pfad hinauf. Schönes Plateau und
Miesberg,960,"Berg, Gipfel",Österreich,Tirol,Chiemgauer Alpen,
Mittelstaufen,1657,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Mitterwandl,1200,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Mittlerer Adlerkopf,1338,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Moarbichl,1597,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Moosberg,1384,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Mühlalpkopf,1061,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Mühlhornwand,1658,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,Kein Gipfel !!
Mühlhörndl,1519,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Mühlprachkopf,1332,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Müllnerhörndl,1253,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Möserberg,1048,"Berg, Gipfel",Österreich Deutschland,Tirol Bayern,Chiemgauer Alpen,
Mösererwand,1109,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Nesslauer Schneid,1437,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Neustadler Berg,1065,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
Niedersberg,580,"Berg, Gipfel",Deutschland,Bayern,Chiemgauer Alpen,
